Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1
Zeit (s)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)
13,820	0,51	0,24	0,43
13,840	0,52	0,25	0,36
13,860	0,52	0,26	1,42
13,880	0,53	0,31	1,24
13,900	0,53	0,31	-1,10
13,920	0,54	0,27	-0,80
13,940	0,54	0,28	-0,06
13,960	0,55	0,26	-0,53
13,980	0,55	0,25	-2,20
14,000	0,56	0,18	-0,39
14,020	0,56	0,24	3,71
14,040	0,57	0,32	-1,30
14,060	0,57	0,19	-1,51
14,080	0,58	0,26	3,19
14,100	0,59	0,31	-1,92
14,120	0,59	0,19	-2,23
14,140	0,59	0,23	-1,10
14,160	0,60	0,14	-1,02
14,180	0,60	0,18	2,69
14,200	0,61	0,25	-1,36
14,220	0,61	0,13	-2,04
14,240	0,61	0,17	0,85
14,260	0,62	0,16	-1,62
14,280	0,62	0,10	-1,58
14,300	0,62	0,10	-0,77
14,320	0,62	0,07	0,69
14,340	0,62	0,13	1,90
14,360	0,63	0,15	-4,03
14,380	0,63	-0,03	-5,38
14,400	0,63	-0,07	2,46
14,420	0,63	0,07	3,19
14,440	0,63	0,06	-4,04
14,460	0,63	-0,10	-5,07
14,480	0,62	-0,14	0,25
14,500	0,62	-0,09	1,20
14,520	0,62	-0,09	-0,35
14,540	0,62	-0,10	0,09
14,560	0,62	-0,09	-0,90
14,580	0,61	-0,14	-1,78
14,600	0,61	-0,16	-1,14
14,620	0,61	-0,18	-0,31
14,640	0,60	-0,17	-0,35
14,660	0,60	-0,19	-1,46
14,680	0,60	-0,23	-0,84
14,700	0,59	-0,23	0,23
14,720	0,59	-0,22	0,04
14,740	0,58	-0,23	-0,42
14,760	0,58	-0,24	-0,47
14,780	0,57	-0,25	-1,40
14,800	0,57	-0,30	-1,59
14,820	0,56	-0,31	0,84
14,840	0,56	-0,26	1,17
14,860	0,55	-0,26	-0,11
14,880	0,55	-0,27	-0,12
14,900	0,54	-0,27	-0,01
14,920	0,53	-0,27	0,11
14,940	0,53	-0,26	0,11
14,960	0,52	-0,26	0,09
14,980	0,52	-0,26	0,32
15,000	0,51	-0,25	0,33
15,020	0,51	-0,25	0,22
15,040	0,50	-0,24	0,20
15,060	0,50	-0,24	0,42
15,080	0,49	-0,22	0,65
15,100	0,49	-0,21	0,54
15,120	0,49	-0,20	0,53
15,140	0,48	-0,19	0,65
15,160	0,48	-0,18	0,65
15,180	0,48	-0,16	0,64
15,200	0,47	-0,15	0,75
15,220	0,47	-0,13	0,88
15,240	0,47	-0,12	0,65
15,260	0,46	-0,11	0,63
15,280	0,46	-0,09	0,87
15,300	0,46	-0,07	0,75
15,320	0,46	-0,06	0,85
15,340	0,46	-0,04	0,97
15,360	0,46	-0,02	0,85
15,380	0,46	-0,01	0,97
15,400	0,46	0,02	0,87
15,420	0,46	0,03	0,74
15,440	0,46	0,05	0,97
15,460	0,46	0,07	0,87
15,480	0,46	0,08	0,63
15,500	0,46	0,09	0,85
15,520	0,47	0,11	0,98
15,540	0,47	0,13	0,76
15,560	0,47	0,15	0,64
15,580	0,47	0,16	0,64
15,600	0,48	0,17	0,74
15,620	0,48	0,19	0,87
15,640	0,48	0,21	0,77
15,660	0,49	0,22	0,44
15,680	0,49	0,22	0,31
15,700	0,50	0,23	0,54
15,720	0,50	0,24	0,55
15,740	0,51	0,25	0,32
15,760	0,51	0,26	0,22
15,780	0,52	0,26	1,63
15,800	0,52	0,32	1,60
15,820	0,53	0,33	-1,30
15,840	0,54	0,27	-1,29
